index,cve,type,date
613,cve-2012-5002,,
614,cve-2011-3489,,
615,cve-2014-0549,,
616,cve-2016-2098,,
617,cve-2013-0156,,
618,cve-2016-0752,,
619,cve-2009-3861,,
620,cve-2009-4988,,
621,cve-2012-2611,,
622,cve-2003-0694,,
623,cve-2011-0517,,
624,cve-2012-3815,,
625,cve-2011-4642,,
626,cve-2005-2297,,
627,cve-2009-1430,,
628,cve-2010-3268,,
629,cve-2011-3478,,
630,cve-2011-3478,,
631,cve-2016-2209,,
632,cve-2016-2209,,
633,cve-2012-0297,,
634,cve-2012-0939,,
635,cve-2008-1611,,
636,cve-2014-4872,,
637,cve-2010-3189,,
638,cve-2013-3664,,
639,cve-2009-0266,,
640,cve-2007-2888,,
641,cve-2013-5019,,
642,cve-2008-0610,,
643,cve-2012-5223,,
644,cve-2011-4828,,
645,cve-2011-0499,,
646,cve-2011-3868,,
647,cve-2012-3569,,
648,cve-2012-3569,,
649,cve-2013-6874,,
650,cve-2006-6251,,
651,cve-2012-1495,,
652,cve-2014-0787,,
653,cve-2011-4451,,
654,cve-2008-5159,,
655,cve-2010-3974,,
656,cve-2015-2474,,
657,cve-2010-2729,,
658,cve-2010-2729,,
659,cve-2010-2729,,
660,cve-2014-2299,,
661,cve-2010-0304,,
662,cve-2006-0025,,
663,cve-2012-4886,,
664,cve-2013-3246,,
665,cve-2013-3492,,
666,cve-2014-0783,,
667,cve-2014-3888,,
668,cve-2014-3888,,
669,cve-2014-0782,,
670,cve-2004-0964,,
671,cve-2013-3259,,
672,cve-2011-3587,,
673,cve-2014-0195,,
674,cve-2016-6329,,
675,cve-2015-2808,,
676,cve-2016-2183,,
677,cve-2015-0024,,
678,cve-2014-6271,,
679,cve-2014-6271,,
680,cve-2014-6271,,
681,cve-2014-6271,,
682,cve-2014-6271,,
683,cve-2014-6277,,
684,cve-2014-6278,,
685,cve-2014-7169,,
686,cve-2017-0290,,
687,cve-2015-1635,,
688,cve-2017-0144,,
689,cve-2003-0818,,
690,cve-2003-0533,,
691,cve-2003-0533,,
692,cve-2017-8540,,
693,cve-2003-0533,,
694,cve-2004-0206,,
695,cve-2010-2729,,
696,cve-2008-4250,,
697,cve-2008-4250,,
698,cve-2004-0116,,
699,cve-2004-0116,,
700,cve-2009-3103,,
701,cve-2006-3439,,
702,cve-2008-3466,,
703,cve-2017-7494,,
704,cve-2017-0016,,
705,cve-2008-4835,,
706,cve-2009-3103,,
707,cve-2012-0507,,
708,cve-2007-0976,,
709,cve-2015-3073,,
710,cve-2015-5110,,
711,cve-2013-2729,,
712,cve-2013-3346,,
713,cve-2013-0632,,
714,cve-2013-3336,,
715,cve-2011-0611,,
716,cve-2011-2140,,
717,cve-2011-2140,,
718,cve-2011-2140,,
719,cve-2012-0754,,
720,cve-2012-0754,,
721,cve-2016-4171,,
722,cve-2016-7855,,
723,cve-2016-7855,,
724,cve-2011-0611,,
725,cve-2014-0497,,
726,cve-2014-0502,,
727,cve-2014-0515,,
728,cve-2014-0515,,
729,cve-2014-0515,,
730,cve-2014-0569,,
731,cve-2014-0569,,
732,cve-2014-0588,,
733,cve-2014-8440,,
734,cve-2014-9163,,
735,cve-2015-0311,,
736,cve-2015-0311,,
737,cve-2015-0318,,
738,cve-2015-0336,,
739,cve-2015-0359,,
740,cve-2015-3043,,
741,cve-2015-3090,,
742,cve-2015-3105,,
743,cve-2015-3113,,
744,cve-2015-3113,,
745,cve-2015-3113,,
746,cve-2015-5116,,
747,cve-2015-5119,,
748,cve-2015-5119,,
749,cve-2015-5122,,
750,cve-2015-5123,,
751,cve-2015-7645,,
752,cve-2015-7645,,
753,cve-2015-8651,,
754,cve-2016-0998,,
755,cve-2016-1010,,
756,cve-2016-1018,,
757,cve-2016-1019,,
758,cve-2016-4117,,
759,cve-2016-4226,,
760,cve-2013-5331,,
761,cve-2014-0497,,
762,cve-2010-2884,,
763,cve-2012-0779,,
764,cve-2013-0640,,
765,cve-2014-8449,,
766,cve-2009-3068,,
767,cve-2012-5271,,
768,cve-2013-0633,,
769,cve-2013-0634,,
770,cve-2013-0634,,
771,cve-2013-0634,,
772,cve-2011-0340,,
773,cve-2011-0340,,
774,cve-2011-0340,,
775,cve-2014-2364,,
776,cve-2014-9222,,
777,cve-2009-0323,,
778,cve-2004-0636,,
779,cve-2012-0394,,
780,cve-2014-0094,,
781,cve-2014-0094,,
782,cve-2017-9791,,
783,cve-2009-3548,,
784,cve-2007-0774,,
785,cve-2009-0950,,
786,cve-2012-0677,,
787,cve-2012-0663,,
788,cve-2012-3752,,
789,cve-2012-3753,,
790,cve-2012-3753,,
791,cve-2012-3758,,
792,cve-2013-1017,,
793,cve-2001-0198,,
794,cve-2010-1939,,
795,cve-2017-2491,,
796,cve-2011-1774,,
797,cve-2011-1774,,
798,cve-2014-2314,,
799,cve-2008-1914,,
800,cve-2008-2683,,
801,cve-2012-1527,,
802,cve-2012-1528,,
803,cve-2009-4225,,
804,cve-2011-1653,,
805,cve-2017-3881,,
806,cve-2012-0824,,
807,cve-2012-0824,,
808,cve-2010-3269,,
809,cve-2011-2882,,
810,cve-2011-2882,,
811,cve-2011-5007,,
812,cve-2014-3789,,
813,cve-2013-3336,,
814,cve-2012-4914,,
815,cve-2012-4914,,
816,cve-2013-3248,,
817,cve-2015-1187,,
818,cve-2015-7245,,
819,cve-2014-3704,,
820,cve-2014-3704,,
821,cve-2014-3120,,
822,cve-2015-1427,,
823,cve-2014-3913,,
824,cve-2016-9079,,
825,cve-2016-9079,,
826,cve-2014-8636,,
827,cve-2006-0295,,
828,cve-2010-3765,,
829,cve-2011-2110,,
830,cve-2011-1918,,
831,cve-2014-0750,,
832,cve-2012-2516,,
833,cve-2012-2516,,
834,cve-2007-5779,,
835,cve-2013-0108,,
836,cve-2011-4786,,
837,cve-2011-2404,,
838,cve-2015-5426,,
839,cve-2013-2368,,
840,cve-2013-2368,,
841,cve-2013-2370,,
842,cve-2013-2370,,
843,cve-2013-2370,,
844,cve-2013-4798,,
845,cve-2013-4798,,
846,cve-2013-4837,,
