CVE,Website Name,Disclosed Date
CVE-2014-6352,Rapid7,2014-10-21
CVE-2012-0507,Rapid7,2012-02-14
CVE-2014-4671,Rapid7,2014-07-08
MS09-020,Rapid7,
CVE-2016-1531,Rapid7,2016-03-10
CVE-2014-9390,Rapid7,2014-12-18
MS10-018,Rapid7,2010-03-09
CVE-2016-6277,Rapid7,2016-12-06
CVE-2012-6081,Rapid7,2012-12-30
CVE-2001-0797,Rapid7,2001-12-12
CVE-2017-7615,Rapid7,2017-04-16
CVE-2011-3192,Rapid7,2011-08-19
CVE-2005-1790,Rapid7,2005-11-21
CVE-2011-0611,Rapid7,2011-04-11
CVE-2014-2299,Rapid7,2014-03-20
CVE-2012-0754,Rapid7,2012-02-15
CVE-2015-5122,Rapid7,2015-07-06
CVE-2010-0219,Rapid7,
CVE-2010-0219,Rapid7,2010-12-30
CVE-2014-6287,Rapid7,2014-09-11
CVE-2014-0224,Rapid7,2014-06-05
CVE-2016-7456,Rapid7,2016-12-20
CVE-2014-4076,Rapid7,2014-11-11
MS16-016,Rapid7,2016-02-09
CVE-2012-5159,Rapid7,2012-09-25
CVE-2013-0156,Rapid7,
CVE-2013-0156,Rapid7,2013-01-07
MS12-004,Rapid7,2012-01-10
CVE-2011-0609,Rapid7,2011-03-15
CVE-2015-2426,Rapid7,2015-07-11
CVE-2013-2465,Rapid7,2013-08-12
CVE-2013-2460,Rapid7,2013-06-18
CVE-2005-1983,Rapid7,2005-08-09
CVE-2014-3888,Rapid7,2014-05-23
CVE-2014-0094,Rapid7,2014-03-06
CVE-2017-6510,Rapid7,2017-03-07
CVE-2014-0257,Rapid7,2014-02-11
CVE-2010-4452,Rapid7,2011-02-15
CVE-2010-0248,Rapid7,2010-01-21
CVE-2010-0249,Rapid7,2010-01-14
CVE-2017-7269,Rapid7,
CVE-2012-1889,Rapid7,2012-06-12
CVE-2014-4511,Rapid7,2014-06-30
CVE-2016-0189,Rapid7,2016-05-10
CVE-2013-3163,Rapid7,2013-07-09
CVE-2015-0002,Rapid7,2014-09-30
CVE-2012-1876,Rapid7,2012-06-12
CVE-2008-2938,Rapid7,2009-01-09
CVE-2015-1635,Rapid7,
CVE-2010-0806,Rapid7,2010-03-09
CVE-2014-0556,Rapid7,2014-09-23
CVE-2013-0634,Rapid7,2013-02-08
CVE-2011-2140,Rapid7,2011-08-09
CVE-2014-3566,Rapid7,2014-10-14
MS09-067,Rapid7,2009-11-10
CVE-2006-4691,Rapid7,2006-11-14
CVE-2016-10033,Rapid7,2016-12-26
CVE-2006-5745,Rapid7,2006-10-10
CVE-2010-2568,Rapid7,2015-03-10
CVE-2009-1151,Rapid7,2009-03-24
CVE-2006-4688,Rapid7,2006-11-14
CVE-2008-4250,Rapid7,2008-10-28
CVE-2014-8741,Rapid7,2014-12-09
CVE-2012-1493,Rapid7,2012-06-11
CVE-2014-6324,Rapid7,2014-11-18
CVE-2010-0188,Rapid7,2010-02-16
CVE-2016-1560,Rapid7,2016-04-07
CVE-2017-3881,Rapid7,2017-03-17
CVE-2006-3392,Rapid7,2006-06-30
MS12-043,Rapid7,2012-06-12
MS13-037,Rapid7,2013-03-06
CVE-2009-0658,Rapid7,2009-02-19
CVE-2007-2175,Rapid7,2007-04-23
CVE-2014-8517,Rapid7,2014-10-28
CVE-2006-4777,Rapid7,2006-11-14
CVE-2014-2928,Rapid7,2013-09-17
MS13-038,Rapid7,2013-05-03
MS14-064,Rapid7,2014-10-21
CVE-2013-3918,Rapid7,2013-11-08
CVE-2015-2509,Rapid7,2015-09-08
CVE-2017-6553,Rapid7,2017-04-09
CVE-2011-1996,Rapid7,2012-10-11
MS14-002,Rapid7,2013-11-27
CVE-2017-6398,Rapid7,2017-01-15
CVE-2012-4969,Rapid7,
MS14-009,Rapid7,2014-02-11
CVE-2006-5229,Rapid7,
CVE-2014-0038,Rapid7,2014-02-02
CVE-2006-3730,Rapid7,2006-07-17
CVE-2010-3338,Rapid7,2010-09-13
CVE-2010-3333,Rapid7,2010-11-09
CVE-2014-8636,Rapid7,2014-01-20
CVE-2010-3971,Rapid7,2010-11-29
CVE-2010-0842,Rapid7,2010-03-30
CVE-2010-2743,Rapid7,2010-10-12
CVE-2014-0322,Rapid7,2014-02-13
CVE-2012-4681,Rapid7,2012-08-26
CVE-2014-6446,Rapid7,2014-09-25
CVE-2010-0232,Rapid7,2010-01-19
CVE-2016-4557,Rapid7,2016-05-04
MS17-010,Rapid7,
MS17-010,Rapid7,2017-03-14
CVE-2016-10073,Rapid7,
CVE-2006-3747,Rapid7,2006-07-28
CVE-2014-2624,Rapid7,2014-09-09
CVE-2016-10174,Rapid7,2016-12-20
CVE-2016-10175,Rapid7,2016-12-20
CVE-2010-1297,Rapid7,2010-06-04
CVE-2005-3398,Rapid7,
CVE-2011-3659,Rapid7,2011-12-06
