cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2011-0388,,,2011-02-25,f
cve-2017-5547,,,2017-02-06,f
cve-2011-0624,,,2011-05-13,f
cve-2011-0723,,,2011-05-20,f
cve-2012-2935,,,2012-05-27,f
cve-2011-0935,,,2011-04-14,f
cve-2011-0997,,,2011-04-08,f
cve-2011-1044,,,2011-02-18,f
cve-2011-1108,,,2011-03-01,f
cve-2011-1264,,,2011-06-16,f
cve-2015-3306,,2015-04-13,2015-05-18,t
cve-2013-3468,,,2013-08-29,f
cve-2009-5099,,,2011-09-13,f
cve-2014-5568,,,2014-09-08,f
cve-2010-5021,,2010-06-13,2011-11-02,t
cve-2013-4051,,,2013-11-07,f
cve-2013-1362,,2013-04-12,2013-07-09,t
cve-2011-1153,,,2011-03-16,f
cve-2011-1206,2011-04-18,2011-04-19,2011-04-21,f
cve-2011-1248,2011-05-10,,2011-05-13,f
cve-2011-1495,,,2011-05-03,f
cve-2011-1508,,,2011-12-13,f
cve-2011-1520,,,2011-03-25,f
cve-2013-4079,,,2013-06-09,f
cve-2010-0996,,,2010-04-20,f
cve-2011-1882,,,2011-07-13,f
cve-2013-5019,,2013-07-11,2013-07-31,t
cve-2011-2022,,,2011-05-09,f
cve-2011-2099,,,2011-06-16,f
cve-2013-4082,,,2013-06-09,f
cve-2011-2130,,,2011-08-10,f
cve-2013-4094,,,2013-06-28,f
cve-2011-2244,,,2011-07-20,f
cve-2011-2341,,,2011-10-12,f
cve-2017-6486,,,2017-03-05,f
cve-2011-2374,,,2011-06-30,f
cve-2011-2433,2011-10-26,,2011-09-15,f
cve-2011-2450,,,2011-11-11,f
cve-2011-2688,,,2011-07-28,f
cve-2010-1604,,2010-04-24,2010-04-29,t
cve-2017-6488,,,2017-03-05,f
cve-2009-0653,,,2009-02-20,f
cve-2009-0760,,2009-02-04,2009-03-03,f
cve-2012-0215,,,2012-07-12,f
cve-2011-2894,,,2011-10-04,f
cve-2012-0860,,,2013-01-04,f
cve-2011-3236,,,2011-10-12,f
cve-2011-3530,,,2011-10-18,f
cve-2010-4881,,,2011-10-07,f
cve-2014-2874,,,2014-04-15,f
