cve,assign_date,edb_date,date_diff
CVE-2015-0757,2015-01-07,,
CVE-2015-0758,2015-01-07,,
CVE-2015-0759,2015-01-07,,
CVE-2015-0760,2015-01-07,,
CVE-2015-0761,2015-01-07,,
CVE-2015-0762,2015-01-07,,
CVE-2015-0763,2015-01-07,,
CVE-2015-0764,2015-01-07,,
CVE-2015-0765,2015-01-07,,
CVE-2015-0766,2015-01-07,,
CVE-2015-0767,2015-01-07,,
CVE-2015-0768,2015-01-07,,
CVE-2015-0769,2015-01-07,,
CVE-2015-0770,2015-01-07,,
CVE-2015-0771,2015-01-07,,
CVE-2015-0772,2015-01-07,,
CVE-2015-0773,2015-01-07,,
CVE-2015-0774,2015-01-07,,
CVE-2015-0775,2015-01-07,,
CVE-2015-0776,2015-01-07,,
CVE-2015-0777,2015-01-07,,
CVE-2015-0778,2015-01-07,,
CVE-2015-0779,2015-01-07,2015-04-08,91
CVE-2015-0787,2015-01-07,,
CVE-2015-0794,2015-01-07,,
CVE-2015-0795,2015-01-07,,
CVE-2015-0797,2015-01-07,,
CVE-2015-0798,2015-01-07,,
CVE-2015-0799,2015-01-07,,
CVE-2015-0800,2015-01-07,,
CVE-2015-0801,2015-01-07,,
CVE-2015-0802,2015-01-07,2015-08-24,229
CVE-2015-0803,2015-01-07,,
CVE-2015-0804,2015-01-07,,
CVE-2015-0805,2015-01-07,,
CVE-2015-0806,2015-01-07,,
CVE-2015-0807,2015-01-07,,
CVE-2015-0808,2015-01-07,,
CVE-2015-0810,2015-01-07,,
CVE-2015-0811,2015-01-07,,
CVE-2015-0812,2015-01-07,,
CVE-2015-0813,2015-01-07,,
CVE-2015-0814,2015-01-07,,
CVE-2015-0815,2015-01-07,,
CVE-2015-0816,2015-01-07,,
CVE-2015-0817,2015-01-07,,
CVE-2015-0818,2015-01-07,,
CVE-2015-0819,2015-01-07,,
CVE-2015-0820,2015-01-07,,
CVE-2015-0821,2015-01-07,,
CVE-2015-0822,2015-01-07,,
CVE-2015-0823,2015-01-07,,
CVE-2015-0824,2015-01-07,,
CVE-2015-0825,2015-01-07,,
CVE-2015-0826,2015-01-07,,
CVE-2015-0827,2015-01-07,,
CVE-2015-0828,2015-01-07,,
CVE-2015-0829,2015-01-07,,
CVE-2015-0830,2015-01-07,,
