cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2010-2258,,,6/9/2010,f
cve-2013-3954,,,6/5/2013,f
cve-2015-2904,,,8/23/2015,f
cve-2009-3799,12/9/2009,,12/10/2009,f
cve-2010-2261,,,6/9/2010,f
cve-2010-2269,,,6/14/2010,f
cve-2010-2364,,,8/31/2010,f
cve-2017-6444,,,3/12/2017,f
cve-2010-3733,,,10/5/2010,f
cve-2010-2433,,6/21/2010,6/23/2010,f
cve-2010-2668,,,7/8/2010,f
cve-2010-2710,,,8/20/2010,f
cve-2010-0200,,,4/14/2010,f
cve-2010-2724,,,7/13/2010,f
cve-2010-2800,,,8/6/2010,f
cve-2010-2961,,9/21/2010,9/14/2010,f
cve-2011-1260,6/14/2011,6/17/2011,6/16/2011,f
cve-2011-1485,,10/20/2014,5/31/2011,f
cve-2011-2653,12/7/2011,8/15/2012,12/8/2011,f
cve-2010-2852,,,7/23/2010,f
cve-2013-4012,,,12/22/2013,f
cve-2011-1213,,6/23/2011,5/31/2011,f
cve-2011-1220,5/31/2011,6/12/2011,6/2/2011,f
cve-2011-4462,,,12/29/2011,f
cve-2013-5455,,,12/6/2013,f
cve-2009-5024,,,5/23/2011,f
cve-2009-3996,,,12/18/2009,f
cve-2009-5022,,11/13/2012,5/3/2011,f
cve-2010-4032,,,11/1/2010,f
cve-2013-6196,,,12/21/2013,f
cve-2017-6468,,,3/3/2017,f
cve-2017-6470,,,3/3/2017,f
cve-2011-0281,,,2/10/2011,f
cve-2010-3444,,,1/10/2011,f
cve-2010-3931,,,1/20/2011,f
cve-2013-4019,,,10/1/2013,f
cve-2010-4160,,,1/7/2011,f
cve-2010-4471,,,2/17/2011,f
cve-2013-4021,,,10/1/2013,f
cve-2010-4743,,,2/18/2011,f
cve-2011-0086,,,2/8/2011,f
cve-2013-3630,,10/31/2013,10/31/2013,f
cve-2009-0596,,,2/16/2009,f
cve-2009-0629,,,3/27/2009,f
cve-2011-0225,,,7/21/2011,f
cve-2011-5260,,,2/12/2013,f
cve-2017-6479,,,3/5/2017,f
cve-2017-6480,,,3/5/2017,f
cve-2011-0720,,,2/3/2011,f
cve-2011-0388,,,2/25/2011,f
cve-2017-5547,,,2/6/2017,f
cve-2011-0624,,,5/13/2011,f
cve-2011-0723,,,5/20/2011,f
cve-2012-2935,,,5/27/2012,f
cve-2011-0935,,,4/14/2011,f
cve-2011-0997,,,4/8/2011,f
cve-2011-1044,,,2/18/2011,f
cve-2011-1108,,,3/1/2011,f
cve-2011-1264,,,6/16/2011,f
cve-2015-3306,,4/13/2015,5/18/2015,t
cve-2013-3468,,,8/29/2013,f
cve-2009-5099,,,9/13/2011,f
cve-2014-5568,,,9/8/2014,f
cve-2010-5021,,6/13/2010,11/2/2011,t
cve-2013-4051,,,11/7/2013,f
cve-2013-1362,,4/12/2013,7/9/2013,t
cve-2011-1153,,,3/16/2011,f
cve-2011-1206,4/18/2011,4/19/2011,4/21/2011,f
cve-2011-1248,5/10/2011,,5/13/2011,f
cve-2011-1495,,,5/3/2011,f
cve-2011-1508,,,12/13/2011,f
cve-2011-1520,,,3/25/2011,f
cve-2013-4079,,,6/9/2013,f
cve-2010-0996,,,4/20/2010,f
cve-2011-1882,,,7/13/2011,f
cve-2013-5019,,7/11/2013,7/31/2013,t
cve-2011-2022,,,5/9/2011,f
cve-2011-2099,,,6/16/2011,f
cve-2013-4082,,,6/9/2013,f
cve-2011-2130,,,8/10/2011,f
cve-2013-4094,,,6/28/2013,f
cve-2011-2244,,,7/20/2011,f
cve-2011-2341,,,10/12/2011,f
cve-2017-6486,,,3/5/2017,f
cve-2011-2374,,,6/30/2011,f
cve-2011-2433,10/26/2011,,9/15/2011,f
cve-2011-2450,,,11/11/2011,f
cve-2011-2688,,,7/28/2011,f
cve-2010-1604,,4/24/2010,4/29/2010,t
cve-2017-6488,,,3/5/2017,f
cve-2009-0653,,,2/20/2009,f
cve-2009-0760,,2/4/2009,3/3/2009,f
cve-2012-0215,,,7/12/2012,f
cve-2011-2894,,,10/4/2011,f
cve-2012-0860,,,1/4/2013,f
cve-2011-3236,,,10/12/2011,f
cve-2011-3530,,,10/18/2011,f
cve-2010-4881,,,10/7/2011,f
cve-2014-2874,,,4/15/2014,f
